artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
0.469340374,ARSL3N21187B98DFC5,Klaus Badelt,german,3.0,0.12,2.28252,0.243,0.52266,275.19955,0.0,0.688003349,2.0,0.039,37.15735675013362,Not available,-63.93335786851952,-16.683,1,0.049,285187,The Time Machine,ARU52PB1187FB58E46,SOAESFB12A8C13573F,261.155,0.318,0.2972,121.667,chill-out,0.863630088,5.0,0.454,Time Travel,2002
0.413885098,ARNUPIM11F4C83BD4D,Melt Banana,,0.0,0.058,0.44164,0.058,0.44164,29.33506,0.0,0.639249552,2.0,0.28,37.15735675013362,Not available,-63.93335786851952,-2.124,1,0.18600000000000005,257800,Cactuses Come In Flocks,AR969TQ1187B9B2B8B,SOPQASR12A8C13FF05,29.335,0.892,0.20189,124.986,noise rock,1.0,1.0,0.0,"How To Say ""Rip Them Off""_ Repeat After Me",0
0.374986646,ARZ4UWR1187FB41898,Fastway,,0.0,0.15,0.9047,0.0,0.44275,302.15791,2.125,0.568897347,9.0,0.453,37.15735675013362,Not available,-63.93335786851952,-8.513,0,0.446,280165,Waiting For The Roar,ARHTAPO1187FB5AADE,SOEYKSX12A8AE473AF,282.569,0.187,0.21516,133.393,heavy metal,0.993363103,4.0,0.852,Kill Me With Your Heart,1986
0.459387425,AR6AGJV1187FB504BA,Kitaro,new age,1.0,0.422,0.85801,0.782,0.25103000000000003,382.51057,2.589,0.668087296,1.0,0.015,37.15735675013362,"Toyohashi, Japan",-63.93335786851952,-18.179,0,0.3670000000000001,240124,Thinking Of You,ARI4S0E1187B9B06C0,SOXXSJF12A8C133F33,345.908,0.066,0.25103000000000003,98.763,chill-out,0.810626342,4.0,0.945,Harmony Of The Forest,1999
0.341265841,AR323JD1187FB483D0,Solomon,,0.0,0.28600000000000003,0.0426,0.28600000000000003,0.0426,37.48526,0.0,0.629732489,10.0,1.0,37.15735675013362,New York,-63.93335786851952,-27.239,1,0.625,254009,Solomon Vol. 2,AR3SC0Z1187B98C19F,SOKTKGY12A8C13F3AD,37.485,0.442,0.0426,110.647,hip pop,0.97862935,1.0,0.619,25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XVII,0
0.291539727,ARQGYP71187FB44566,Jimmy Wakely,,0.0,0.163,0.12236,0.0,0.12236,151.84933999999996,2.827,0.39413854,1.0,0.799,34.31109,"Mineola, AR",-94.02978,-15.220999999999998,1,0.716,605134,1942-1952 Jimmy Wakely,ARFYPFB1187FB3D65C,SOWTBJW12AC468AC6E,146.19899999999996,0.617,0.12236,86.186,classic country,1.0,3.0,0.929,Broken-Down Merry-Go-Round,0
0.558298348,ARMBTFC1187FB56343,Korn,american,2.0,0.004,0.49438,0.904,0.49438,200.80281,0.0,0.829135422,7.0,0.464,37.15735675013362,"Bakersfield, CA",-63.93335786851952,-3.533,1,0.501,44921,Live & Unglued,AR5H4CJ1187B9AE949,SOMWBPP12A6D4F7B23,194.601,0.745,0.29392,150.017,rap metal,0.921075999,4.0,0.583,Coming Undone (Sleazy Days Rock Electro Remix) (Acid Planet Remix -- France),0
0.395791274,ARDY3451187B9A0226,Skeeter Davis,,0.0,0.145,1.93934,0.341,1.52811,153.96526,0.0,0.042848266,7.0,0.7240000000000001,38.68193,"Dry Ridge, KY",-84.59431,-16.87,1,0.662,229718,Country Christmas,ARA7YDA1187B9A5776,SOXNMJY12A81357342,143.418,0.17600000000000002,1.3225,150.784,country rock,0.978369095,4.0,0.0,Santa Claus Is Coming To Town,1999
0.439880513,ARGNZOL1187FB5CE7C,Fernando Ortega,,0.0,0.662,1.32294,0.662,1.32294,130.76853,3.924,0.582129295,6.0,0.85,37.27188,California,-119.27023,-11.769,1,0.8140000000000001,6902,Hymns Of Worship,AR9Q34X1187B9A28B6,SOBCLQQ12A67020342,117.296,0.103,0.76495,55.619,ccm,1.0,1.0,0.0,Pass Me Not (LP Version),2003
0.42563248,ARQVC1L1187FB440DE,Brian Littrell,,0.0,0.825,0.42138,0.7090000000000001,0.42138,236.45995,0.195,0.68250801,7.0,0.6709999999999999,38.04859,"Lexington, KY",-84.50032,-6.2879999999999985,1,0.779,308427,Welcome Home,ARZ5I3M1187B98AAEB,SOSAEVQ12A8C13EC8F,221.246,0.0,0.12095999999999996,98.937,ccm,1.0,4.0,0.775,Wish,2006
