,artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
3000,0.368689373,AR243ZT1187B9A98D2,Otis Spann,,0.0,0.258,0.49446999999999997,0.9540000000000001,0.49446999999999997,160.83546,0.43200000000000005,0.534464352,9.0,0.008,32.29869,"Jackson, MS",-90.18049,-13.389000000000001,1,0.321,427098,Windy City Blues,AR0CJQS1187FB42BEB,,SOEWHWK12A8C14264E,155.15,0.828,0.058210000000000005,99.463,piano blues,1.0,4.0,0.24,Must Have Been The Devil,1990
3001,0.37536243399999997,ARH0Z131187B9B69E9,Kool Moe Dee,hip hop,1.0,0.142,0.82721,0.147,0.82721,281.33832,0.0,0.545866609,6.0,0.802,40.8079,"Harlem, New York, NY",-73.9454,-8.762,1,0.655,304402,Greatest Hits,ARHIC3Q1187B9B1773,,SOITKDW12A8C13BA44,274.466,0.6729999999999999,0.2885,83.85600000000001,hip hop,1.0,3.0,1.0,I Go To Work,1989
3002,0.144684661,AR0BV7E1187FB386C1,Lee Ritenour,,0.0,0.027000000000000003,0.03899,0.769,0.03899,274.72934,0.322,0.632008013,0.0,0.6809999999999999,37.15735675013362,"Hollywood, CA",-63.93335786851952,-9.727,0,0.667,319809,OverTime,ARA1XJP1187FB3FADC,0.598989558,SOHMZNL12A58A8001A,263.216,0.28800000000000003,0.03899,164.59400000000002,instrumental pop,1.0,4.0,0.892,Is It You?,1979
3003,0.29168806,AR5NDDL1187B9A4EDB,Big John Greer,,0.0,0.861,0.30372,0.861,0.30372,145.73668999999998,0.18899999999999997,0.362997347,7.0,0.715,37.15735675013362,Not available,-63.93335786851952,-7.265,1,0.5920000000000001,258482,I'm The Fat Man,ARK4R241187B9A4ED4,0.0,SOHLICT12A8C13C8C7,143.203,0.39299999999999996,0.1161,159.939,jump blues,1.0,1.0,0.0,Bottle It Up And Go,1992
3004,0.494381209,ARXRK5A1187FB3EAC6,Jaguares,latin,1.0,0.557,2.9204,0.0,2.40563,302.8371,6.037000000000001,0.668204961,9.0,0.659,37.15735675013362,Not available,-63.93335786851952,-9.795,0,0.619,297058,Cuando La Sangre Galopa,AR5U53D1187FB37654,0.407233015,SOXODEF12A8C13B056,283.098,0.036000000000000004,2.40563,119.09,latin pop,0.798888905,4.0,0.877,El Momento,2001
3005,0.40283578700000006,ARBPRTL11F4C83CB05,Oak Ridge Boys,,0.0,1.0,0.09537999999999999,1.0,0.09537999999999999,125.83138000000001,0.0,0.546361173,0.0,0.9740000000000001,37.15735675013362,Not available,-63.93335786851952,-12.135,1,0.868,341842,Lord Is My Saviour,ARGIABO1187FB4B3B5,,SOMEKAE12AB0181461,119.641,1.0,0.09537999999999999,105.044,classic country,1.0,1.0,0.0,My Saviour Is Lord,0
3006,0.493629438,ARUHYH21187B98BA89,The Tragically Hip,,0.0,0.009000000000000001,1.42602,0.86,0.43832,318.87628,0.09,0.758299704,9.0,0.48200000000000004,44.23153,"Kingston, Ontario, Canada",-76.47933,-5.48,1,0.531,484765,We Are The Same,ARGCEMX1187B9921A4,0.460541281,SOQYWPI12AB017DA10,295.184,0.0,0.1918,122.926,roots rock,0.9461090670000001,4.0,1.0,Country Day,2009
3007,0.361918804,ARX4D1E1187B9A9C4D,Carman featuring Commissioned & The Christ Church Choir,christian,1.0,0.002,0.93652,0.616,0.046239999999999996,326.26892999999995,0.0,0.639723586,7.0,0.0,40.21787,"Trenton, NJ",-74.7594,-9.464,1,0.655,536869,Shakin' The House Live,ARUTS6Y1187FB5BDAB,,SOBSEXG12AB0180DD4,326.269,0.377,0.046239999999999996,135.507,ccm,1.0,4.0,0.6829999999999999,Let The Church Rise,0
3008,0.324097703,ARO89GU1187B98ADA2,Reni,,0.0,0.012,1.03694,1.0,0.1039,191.52934,0.531,0.5101921770000001,5.0,0.27699999999999997,53.4796,"Manchester, England",-2.2488099999999998,-2.785,0,0.382,685888,Reni 2003,ARL7N431187B9B7AFF,,SOXLNHY12AC4688B63,188.13400000000001,0.9079999999999999,0.1039,130.02700000000002,pop folk,1.0,4.0,0.479,Nema Dana Ni Meseca,0
3009,0.386151631,AREJXK41187B9A4ACC,Raphael,,0.0,0.135,1.94297,0.52,1.39069,198.86975,1.065,0.55746022,7.0,0.7140000000000001,46.71067,France,1.71819,-6.862,1,0.6990000000000001,384306,Raphael 50 AA+-os Despues,ARVEJ9M1187FB4DC44,,SOYDTFR12AB017CADA,192.859,0.513,1.11792,120.101,chanson,0.910697616,4.0,0.865,Cantares,0
